,0
0,0.23496234
1,0.46004593
2,0.88267225
3,0.23423804
4,0.7625093
5,0.38990006
6,0.84026873
7,0.20079902
8,0.362072
9,0.8944393
10,0.16696158
11,0.8860417
12,0.95154816
13,0.8041699
14,0.2512791
15,0.75667655
16,0.9524739
17,0.1607044
18,0.94589275
19,0.1692412
20,0.70258653
21,0.89144886
22,0.9229204
23,0.8508032
24,0.36111057
25,0.16591166
26,0.836728
27,0.17441158
28,0.92349595
29,0.773785
30,0.8787047
31,0.19880293
32,0.92703927
33,0.5425812
34,0.9127977
35,0.9338411
36,0.44122788
37,0.20265561
38,0.93417734
39,0.74637264
40,0.8852316
41,0.6497812
42,0.1788213
43,0.9533406
44,0.8042335
45,0.55131865
46,0.94630533
47,0.20921221
48,0.9474923
49,0.7529373
50,0.28255397
51,0.94922155
52,0.18520012
53,0.18287168
54,0.81996286
55,0.19503298
56,0.80994964
57,0.52178216
58,0.7703877
59,0.19693932
60,0.9404592
61,0.34985092
62,0.8991368
63,0.6075355
64,0.28034514
65,0.8652863
66,0.20675637
67,0.6080065
68,0.7741427
69,0.7344098
70,0.9435559
71,0.32435396
72,0.22030027
73,0.9650195
74,0.9538746
75,0.6964346
76,0.95969284
77,0.8823719
78,0.96225154
79,0.6659346
80,0.8737277
81,0.64821607
82,0.15457633
83,0.18544985
84,0.35418606
85,0.885617
86,0.68900543
87,0.5566579
88,0.8750076
89,0.953247
90,0.26508436
91,0.7301293
92,0.6032267
93,0.2777442
94,0.9289821
95,0.9552055
96,0.18705828
97,0.16911556
98,0.927675
99,0.5863184
100,0.17301093
101,0.58804446
102,0.21100077
103,0.87653834
104,0.85781604
105,0.4013892
106,0.18219788
107,0.9047286
108,0.18762009
109,0.8186922
110,0.7874319
111,0.9524161
112,0.82677644
113,0.93467164
114,0.39424685
115,0.96614057
116,0.15807599
117,0.8145633
118,0.8264128
119,0.82769096
120,0.6162048
121,0.8714668
122,0.92518896
123,0.95452315
124,0.88732284
125,0.199996
126,0.64345974
127,0.85496134
128,0.25778887
129,0.77381015
130,0.82610273
131,0.16331547
132,0.8818134
133,0.481688
134,0.41742924
135,0.88240695
136,0.6957336
137,0.9265083
138,0.9464872
139,0.8339923
140,0.8571372
141,0.89814126
142,0.15976673
143,0.8648459
144,0.96301246
145,0.29844928
146,0.9225266
147,0.1717488
148,0.9633189
149,0.9679406
150,0.38905406
151,0.9597439
152,0.18724883
153,0.20179696
154,0.21047434
155,0.9637254
156,0.87853813
157,0.18301421
158,0.49808717
159,0.48928487
160,0.28773215
161,0.21339315
162,0.65384996
163,0.783108
164,0.41818678
165,0.920773
166,0.7420681
167,0.17526118
168,0.46911377
169,0.88864
170,0.63213104
171,0.58393127
172,0.4059958
173,0.9606035
174,0.36148322
175,0.82732207
176,0.38616586
177,0.64296174
178,0.8982336
179,0.20567939
180,0.33643937
181,0.5547257
182,0.2033512
183,0.9034245
184,0.33012256
185,0.7543724
186,0.94969475
187,0.9595226
188,0.8134831
189,0.77391285
190,0.9053234
191,0.33825868
192,0.8110941
193,0.9381565
194,0.46925202
195,0.87878615
196,0.8846721
197,0.18517388
198,0.9114181
199,0.2979728
200,0.17192066
201,0.91496426
202,0.8356875
203,0.9476714
204,0.7785794
205,0.64365995
206,0.9559021
207,0.6639618
208,0.785611
209,0.9294278
210,0.88997585
211,0.9601087
212,0.83640134
213,0.9210193
214,0.965147
215,0.17484044
216,0.6830054
217,0.7980481
218,0.79898983
219,0.22005908
220,0.16939156
221,0.5478856
222,0.66162014
223,0.96892494
224,0.20503214
225,0.95506704
226,0.20585877
227,0.3669666
228,0.8725908
229,0.1705244
230,0.7843642
231,0.79256374
232,0.56021243
233,0.8724239
234,0.8915968
235,0.61369187
236,0.8387365
237,0.86189973
238,0.9613705
239,0.19164026
240,0.909128
241,0.8901607
242,0.70530695
243,0.92758995
244,0.91879576
245,0.8487458
246,0.88466483
247,0.83732516
248,0.9620996
249,0.91811526
250,0.91662747
251,0.89178467
252,0.8098704
253,0.828185
254,0.20642279
255,0.65887046
256,0.86668307
257,0.7920527
258,0.22496775
259,0.2833715
260,0.19002865
261,0.19083512
262,0.778056
263,0.96042746
264,0.9216302
265,0.75561
266,0.9532405
267,0.82641375
268,0.80723995
269,0.37470287
270,0.8171672
271,0.9178579
272,0.7197947
273,0.9585466
274,0.31436646
275,0.9068725
276,0.5491669
277,0.91619116
278,0.34297884
279,0.9565195
280,0.91245586
281,0.8795148
282,0.8552461
283,0.18812302
284,0.49620327
285,0.94079393
286,0.76468676
287,0.96657056
288,0.9384416
289,0.6952048
290,0.20725583
291,0.42038628
292,0.7797766
293,0.64482075
294,0.88757807
295,0.6622306
296,0.57902056
297,0.8333467
298,0.89327425
299,0.17019328
300,0.589916
301,0.8485565
302,0.36485592
303,0.15600838
304,0.43960878
305,0.9142403
306,0.41800803
307,0.15480308
308,0.28649852
309,0.84089804
310,0.7921118
311,0.76541173
312,0.7975865
313,0.95879424
314,0.8822131
315,0.60690314
316,0.93917346
317,0.36531946
318,0.89799243
319,0.30324632
320,0.8531339
321,0.22045858
322,0.96117693
323,0.17916125
324,0.909895
325,0.89847565
326,0.93905735
327,0.91953015
328,0.7077536
329,0.62477523
330,0.8383051
331,0.8558151
332,0.59360224
333,0.96851605
334,0.32029098
335,0.18537174
336,0.8381685
337,0.93373656
338,0.17705084
339,0.7798586
340,0.15840445
341,0.17676976
342,0.16389097
343,0.1572908
344,0.203861
345,0.18065552
346,0.94708836
347,0.41944164
348,0.91339356
349,0.45159212
350,0.49780118
351,0.7642376
352,0.8560454
353,0.8964031
354,0.19557217
355,0.9239294
356,0.8027376
357,0.8646156
358,0.84252053
359,0.7985136
360,0.94764066
361,0.9273052
362,0.7781223
363,0.6439397
364,0.69491994
365,0.95433617
366,0.16819298
367,0.39250305
368,0.41610378
369,0.924407
370,0.7440072
371,0.3527429
372,0.9194601
373,0.705383
374,0.8207239
375,0.8852918
376,0.47898805
377,0.9201193
378,0.4629592
379,0.83889604
380,0.88245916
381,0.9640523
382,0.9415426
383,0.8802254
384,0.6229074
385,0.73632103
386,0.48699185
387,0.32033327
388,0.79538965
389,0.21006273
390,0.36973345
391,0.881081
392,0.17327069
393,0.1881545
394,0.9203739
395,0.7129189
396,0.2304144
397,0.66787803
398,0.84454566
399,0.87402385
400,0.74648845
401,0.1926708
402,0.16928245
403,0.9229343
404,0.90959084
405,0.8488004
406,0.17963867
407,0.8916087
408,0.8290485
409,0.26070255
410,0.8924429
411,0.9297294
412,0.20243378
413,0.8238397
414,0.321019
415,0.80113834
416,0.33239385
417,0.37156236
418,0.36318076
419,0.494257
420,0.83266574
421,0.8160626
422,0.925539
423,0.8313054
424,0.7858152
425,0.19836238
426,0.40162623
427,0.9642134
428,0.19682764
429,0.89700985
430,0.7676238
431,0.8020033
432,0.16360629
433,0.93945795
434,0.93385744
435,0.35634416
436,0.8224541
437,0.9636655
438,0.6181002
439,0.34015182
440,0.9466284
441,0.9192294
