,0
0,0.15510927
1,0.2048105
2,0.85216516
3,0.79048127
4,0.9144406
5,0.90180653
6,0.91068715
7,0.98146546
8,0.19992661
9,0.9894533
10,0.86052144
11,0.7138922
12,0.952071
13,0.74971104
14,0.15064861
15,0.14782555
16,0.7839701
17,0.9958555
18,0.76251507
19,0.36487222
20,0.77025414
21,0.99636227
22,0.82838726
23,0.848076
24,0.48000684
25,0.6679689
26,0.2086467
27,0.8028609
28,0.15621848
29,0.20025018
30,0.5894038
31,0.86208075
32,0.9043838
33,0.7809204
34,0.6978178
35,0.8349007
36,0.65143347
37,0.76235205
38,0.15860724
39,0.8153977
40,0.14681113
41,0.7805452
42,0.16132674
43,0.7713803
44,0.20161375
45,0.2568912
46,0.78318393
47,0.36098012
48,0.525054
49,0.79455423
50,0.30478385
51,0.77591175
52,0.19816218
53,0.9950889
54,0.3748397
55,0.949338
56,0.16488224
57,0.14880428
58,0.94121194
59,0.66238415
60,0.9531985
61,0.8093512
62,0.7703747
63,0.53206176
64,0.29203615
65,0.7626035
66,0.88837653
67,0.91158646
68,0.17633921
69,0.1825639
70,0.17794052
71,0.94366086
72,0.99285066
73,0.8854628
74,0.9608974
75,0.644129
76,0.18186644
77,0.60373724
78,0.5577355
79,0.8768414
80,0.35611874
81,0.26876083
82,0.15120167
83,0.7948099
84,0.6138259
85,0.48032132
86,0.1476472
87,0.73153955
88,0.2948085
89,0.9341356
90,0.99379736
91,0.977687
92,0.7604363
93,0.77649766
94,0.14938354
95,0.6343046
96,0.7881756
97,0.56641364
98,0.94356173
99,0.9511246
100,0.38566738
101,0.8257002
102,0.7625772
103,0.91725683
104,0.24285813
105,0.3817909
106,0.76812935
107,0.29728243
108,0.70284635
109,0.19291836
110,0.9954894
111,0.7989247
112,0.84037995
113,0.42907917
114,0.4488339
115,0.88926494
116,0.46924293
117,0.4049731
118,0.47963324
119,0.16486518
120,0.57249665
121,0.95698327
122,0.16684827
123,0.37881356
124,0.931362
125,0.65371823
126,0.62600255
127,0.93361497
128,0.59485835
129,0.56862193
130,0.41532043
131,0.19142832
132,0.60341895
133,0.99553764
134,0.62003195
135,0.46337524
136,0.87122506
137,0.42736328
138,0.5317063
139,0.7967868
140,0.15658116
141,0.8118128
142,0.9721624
143,0.9073626
144,0.5666003
145,0.89194995
146,0.7660758
147,0.78649133
148,0.8372221
149,0.77811
150,0.9361382
151,0.7996817
152,0.7213503
153,0.88647616
154,0.16577496
155,0.32672325
156,0.77087986
157,0.39454278
158,0.3259022
159,0.15702625
160,0.91056377
161,0.54299265
162,0.99592483
163,0.56633615
164,0.83350277
165,0.20482372
166,0.48296314
167,0.17954601
168,0.7457837
169,0.8968044
170,0.8108031
171,0.73934495
172,0.8779306
173,0.60336435
174,0.16220737
175,0.9423441
176,0.7697258
177,0.18227604
178,0.8497786
179,0.88923705
180,0.5516607
181,0.4608782
182,0.9003174
183,0.7467639
184,0.887366
185,0.6705679
186,0.2773642
187,0.16956455
188,0.6320002
189,0.93767184
190,0.45193025
191,0.8327906
192,0.9367891
193,0.2081452
194,0.14692342
195,0.84713167
196,0.1522681
197,0.63474554
198,0.17392185
199,0.62776357
200,0.7798319
201,0.5439777
202,0.4595884
203,0.43524024
204,0.48802385
205,0.84027404
206,0.48084867
207,0.950067
208,0.9947674
209,0.48776728
210,0.15381102
211,0.43747538
212,0.99639505
213,0.5594233
214,0.14765333
215,0.9632033
216,0.3006165
217,0.19226983
218,0.82241285
219,0.39270633
220,0.6349136
221,0.9963252
222,0.37202352
223,0.16535619
224,0.18325847
225,0.617125
226,0.47394797
227,0.19392796
228,0.6312226
229,0.94365036
230,0.16530637
231,0.6875897
232,0.99611604
233,0.25712928
234,0.9885768
235,0.18535995
236,0.7934999
237,0.3817003
238,0.9555553
239,0.96809655
240,0.63675
241,0.6172474
242,0.82826185
243,0.3803919
244,0.9027383
245,0.4010218
246,0.78519434
247,0.1851023
248,0.6241237
249,0.17777248
250,0.78334534
251,0.6085688
252,0.852903
253,0.75012296
254,0.5833277
255,0.5700098
256,0.85742086
257,0.9284116
258,0.1846383
259,0.99654937
260,0.71118426
261,0.15305674
262,0.38640845
263,0.8245925
264,0.38297683
265,0.20412926
266,0.95535815
267,0.71315145
268,0.932732
269,0.5363793
270,0.99603254
271,0.78180426
272,0.73269814
273,0.5725842
274,0.7965613
275,0.20231532
276,0.86595845
277,0.4821315
278,0.15362136
279,0.7564564
280,0.15124692
281,0.6334927
282,0.5025528
283,0.5664502
284,0.18240362
285,0.37939325
286,0.8985827
287,0.2279507
288,0.7841113
289,0.68494165
290,0.6345422
291,0.1510427
292,0.6075228
293,0.1473561
294,0.4809149
295,0.16374105
296,0.9274174
297,0.920956
298,0.64795786
299,0.14993016
300,0.92939264
301,0.19082616
302,0.5925846
303,0.39806256
304,0.7585503
305,0.8050525
306,0.94522166
307,0.55691564
308,0.89195687
309,0.8475867
310,0.8017255
311,0.27582306
312,0.15885681
313,0.78348356
314,0.15328032
315,0.5077929
316,0.1510827
317,0.7362988
318,0.80378085
319,0.21782812
320,0.8220892
321,0.7863337
322,0.90964985
323,0.77150923
324,0.9554793
325,0.8806895
326,0.9958578
327,0.21837111
328,0.99361825
329,0.6276606
330,0.19180591
331,0.42520976
332,0.4455519
333,0.5141588
334,0.81584096
335,0.79784137
336,0.59028286
337,0.15488583
338,0.8256054
339,0.7881286
340,0.79723597
341,0.3982957
342,0.91482073
343,0.45172358
344,0.18157059
345,0.36822593
346,0.38370967
347,0.59585536
348,0.9233489
349,0.96660787
350,0.3750223
351,0.83741367
352,0.7446624
353,0.5833444
354,0.3613203
355,0.8459121
356,0.14815988
357,0.3705057
358,0.9964114
359,0.7956011
360,0.21038425
361,0.9958312
362,0.91573703
363,0.53661144
364,0.50970966
365,0.18181059
366,0.7676536
367,0.6328905
368,0.90397334
369,0.71321726
370,0.7965392
371,0.8803991
372,0.93521947
373,0.153193
374,0.1839351
375,0.783163
376,0.24656923
377,0.6056685
378,0.8735249
379,0.83654517
380,0.87089944
381,0.30465278
382,0.15419155
383,0.5671274
384,0.7175506
385,0.25575313
386,0.8056669
387,0.98345816
388,0.9361992
389,0.9932336
390,0.47740874
391,0.5017712
392,0.7794836
393,0.49223652
394,0.8961028
395,0.95485944
396,0.93506384
397,0.67917114
398,0.152619
399,0.8079564
400,0.8188521
401,0.16230458
402,0.20940992
403,0.8848928
404,0.6980632
405,0.6851783
406,0.7424933
407,0.56317896
408,0.58561325
409,0.18096603
410,0.55923283
411,0.3627151
412,0.5973929
413,0.33604935
414,0.76242095
415,0.9962817
416,0.84704155
417,0.6362997
418,0.16444202
419,0.2594169
420,0.15911947
421,0.18210982
422,0.8090719
423,0.75980127
424,0.71942884
425,0.15410191
426,0.19470079
427,0.8296867
428,0.5551966
429,0.14912012
430,0.42467076
431,0.8457833
432,0.627193
433,0.77951765
434,0.87232363
435,0.494811
436,0.5667044
437,0.85967034
438,0.86022377
439,0.6379604
440,0.31784257
441,0.78599787
442,0.8457299
443,0.37839067
444,0.55715233
445,0.28800315
446,0.9876266
447,0.6158729
448,0.7919265
449,0.4768563
450,0.4817584
451,0.18530767
452,0.64324194
453,0.79684025
454,0.9823239
455,0.18667954
456,0.5336065
457,0.7889278
458,0.57897234
459,0.81728035
460,0.8978802
461,0.9867046
462,0.266237
463,0.9908284
464,0.8127399
465,0.91860175
466,0.22278956
467,0.4529772
468,0.23453648
