Particle,P,Q,N,Learning_Rate,Alpha,Avg Mape,Min MAPE,Avg time
17,13,4,113,0.0009273522759704507,18,0.0,0.07304029882240076,0.0
0,13,4,72,0.000729442812489616,45.0,0.12490738307625947,0.12490738307625947,0.1263619343439738
1,13,4,71,0.0004701631585103984,10.0,0.11826638485239231,0.11826638485239231,0.2540545701980591
2,13,4,91,0.0009344288157985387,52,0.15350761271751473,0.15350761271751473,0.38453853925069176
3,13,4,115,0.0005201671386648011,12.0,0.08346673089084639,0.08346673089084639,0.5212394634882609
4,13,4,67,0.0002916254521904343,12.0,0.1320852202134854,0.1320852202134854,0.6580401341120402
5,13,4,120,0.000998782233375375,49.0,0.1069329326720612,0.1069329326720612,0.7980372985204061
6,13,4,95,0.00022541754590490413,43.0,0.1461000125038577,0.1461000125038577,0.9384957790374756
7,13,4,69,0.000823345250407423,9.0,0.11537573909646207,0.11537573909646207,1.0791205406188964
8,13,4,71,0.00025590981410037757,52,0.2324419650622737,0.2324419650622737,1.2220375061035156
9,13,4,95,0.00040758499017355486,43.0,0.13551676757477077,0.13551676757477077,1.3773733536402384
10,13,4,110,0.00028765019409737275,38.0,0.14149679907986173,0.14149679907986173,1.5283361275990803
11,13,4,68,0.0005571982385213694,22.0,0.0823211151986546,0.0823211151986546,1.6786007722218832
12,13,4,72,0.0006760275728236647,5.0507944889295375,0.14760182804371383,0.14760182804371383,1.8319233655929565
13,13,4,99,0.0008296886761068805,50.0,0.10193717563984289,0.10193717563984289,2.00479420820872
14,13,4,120,0.000879096465324362,52,0.11858641730071413,0.11858641730071413,2.169520123799642
15,13,4,69,0.0008082659107370338,21.0,0.10538333187513473,0.10538333187513473,2.337703490257263
16,13,4,96,0.0007488393792676312,20.0,0.08095234038748432,0.08095234038748432,2.5071834087371827
17,13,4,119,0.001,23.0,0.12515517340108198,0.12515517340108198,2.6797161658604938
18,13,4,78,0.0008268282574099276,33.0,0.10175582437642922,0.10175582437642922,2.8506597836812335
19,13,4,99,0.0006528376061171724,26.0,0.08913073848059902,0.08913073848059902,3.030872186024984
20,13,4,117,0.0006016338737823865,35.0,0.0957107001710168,0.0957107001710168,3.2059374252955117
21,13,4,75,0.0009158055624442523,19.0,0.15809220843703642,0.15809220843703642,3.4008825461069745
22,13,4,73,0.0007028233794079748,45.0,0.12040700880613199,0.12040700880613199,3.604771304130554
23,13,4,101,0.0005420141988447009,14.0,0.08323849568954576,0.08323849568954576,3.7908076286315917
24,13,4,120,0.00042779381752456794,49.0,0.1181604295263268,0.1181604295263268,3.978638434410095
